=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.03 14:43:01 =~=~=~=~=~=~=~=~=~=~=~=
2640 487 2137 -3189
2639 485 2131 -2976
2640 486 2133 -3246
2642 488 2129 -3212
2642 487 2135 -2966
2643 487 2130 -3019
2641 487 2135 -2776
2644 488 2139 -2896
2644 489 2135 -2519
2643 488 2128 -2976
2644 488 2130 -2936
2643 486 2128 -2966
2646 488 2134 -3083
2647 490 2135 -3056
2645 489 2135 -3246
2646 488 2132 -2903
2645 487 2132 -3156
2647 489 2133 -2846
2649 490 2134 -3156
2648 489 2135 -3109
2648 489 2130 -2899
2647 488 2134 -3066
2649 489 2129 -2879
2650 490 2119 -2896
2650 490 2132 -2569
2651 490 2137 -3119
2649 487 2132 -3019
2651 490 2131 -3139
2652 491 2136 -3276
2652 490 2136 -3103
2653 490 2132 -3143
2651 488 2130 -2846
2653 491 2134 -3156
2654 492 2151 -2859
2654 491 2131 -3129
2654 491 2135 -3019
2653 488 2130 -2876
2655 491 2133 -2993
2656 492 2136 -2766
2656 491 2133 -2913
2657 491 2134 -2726
2655 489 2136 -3193
2657 491 2134 -2999
2658 491 2132 -3112
2658 492 2131 -3172
2658 491 2137 -3029
2657 490 2129 -3113
2659 492 2135 -2812
2660 494 2138 -3026
2659 492 2133 -2629
2660 492 2129 -2936
2660 491 2132 -2869
2661 491 2138 -2793
2661 493 2133 -2966
2662 493 2133 -2873
2662 492 2133 -2933
2662 491 2128 -2569
2663 492 2153 -2979
2664 495 2134 -2749
2663 492 2132 -2986
2664 492 2124 -3059
2663 491 2136 -2856
2664 494 2135 -2956
2666 494 2126 -2736
2666 493 2136 -2876
2666 493 2131 -2496
2664 492 2136 -2896
2666 493 2136 -2809
2668 493 2130 -2796
2667 494 2136 -2973
2667 493 2133 -2839
2666 492 2135 -2919
2668 494 2136 -2616
2669 495 2139 -2969
2669 495 2130 -2699
2669 495 2133 -2953
2667 493 2123 -3019
2669 495 2139 -2879
2671 496 2132 -3036
2671 494 2137 -2813
2671 493 2123 -2899
2670 494 2130 -2573
2671 496 2135 -3046
2672 497 2132 -2939
2672 495 2134 -2976
2672 494 2130 -3089
2672 494 2134 -2929
2673 496 2140 -3046
2674 496 2137 -2726
2672 495 2133 -2979
2674 495 2132 -2666
2673 494 2118 -2929
2675 496 2134 -2906
2676 495 2133 -2826
2675 495 2133 -2969
2676 495 2132 -2782
2675 495 2136 -2879
2676 498 2135 -2606
2677 496 2131 -3082
2677 496 2136 -2899
2677 496 2129 -3089
2676 494 2132 -3202
2678 496 2126 -3046
2679 496 2115 -3129
2678 495 2137 -2813
2680 497 2137 -2986
2677 495 2134 -2706
2680 497 2138 -3113
2680 497 2139 -3016
2681 497 2131 -2952
2681 496 2133 -3056
2680 495 2131 -2866
2681 496 2133 -2943
2682 497 2136 -2693
2682 498 2136 -3149
2681 496 2136 -2919
2681 495 2138 -3146
2682 497 2120 -3176
2683 497 2134 -2956
2683 497 2133 -3083
2683 496 2132 -2849
2682 497 2137 -2926
2683 497 2141 -2516
2683 498 2136 -2893
2684 497 2135 -2776
2684 497 2130 -2786
2683 495 2129 -2956
2684 498 2134 -2822
2684 499 2134 -2983
2684 498 2133 -2713
2686 497 2122 -2993
2684 496 2134 -2703
2685 498 2130 -2979
2685 500 2132 -3003
2686 496 2135 -2906
2686 496 2135 -2993
2685 495 2116 -2749
2686 498 2132 -2843
2687 500 2132 -2456
2687 497 2133 -2942
2687 498 2173 -2803
2686 495 2131 -2863
2688 498 2131 -3003
2688 499 2131 -2872
2688 497 2135 -2996
2688 496 2132 -2726
2688 496 2133 -2963
2688 498 2131 -2619
2690 499 2124 -2933
2690 498 2140 -2906
2689 498 2135 -2792
2689 497 2130 -2899
2690 498 2134 -2679
2691 499 2136 -2786
2691 499 2133 -2463
2691 498 2131 -2943
2690 497 2122 -2776
2692 498 2138 -2833
2693 499 2134 -3036
2692 499 2134 -2906
2693 499 2137 -3013
2691 498 2135 -2756
2693 499 2134 -2993
2694 500 2139 -2662
2693 499 2123 -2956
2694 497 2132 -2926
2693 498 2131 -2819
2695 500 2130 -2933
2695 501 2125 -2803
2695 499 2129 -2899
2695 499 2124 -2473
2693 498 2136 -2929
2696 501 2134 -2793
2696 500 2134 -2929
2696 501 2132 -3049
2697 501 2132 -2866
2696 498 2136 -2946
2697 500 2135 -2703
2698 502 2132 -2979
2697 500 2137 -2679
2697 500 2136 -3049
2697 498 2130 -3073
2698 502 2132 -2939
2699 500 2134 -2989
2698 501 2134 -2829
2699 500 2134 -3019
2698 499 2130 -2733
2700 501 2139 -3089
2700 502 2133 -2799
2700 501 2128 -2899
2701 500 2131 -3073
2699 499 2134 -2956
2701 501 2135 -3043
2702 502 2140 -2679
2701 502 2133 -2936
2701 501 2124 -2632
2700 499 2138 -2923
2702 502 2119 -2853
2703 502 2132 -2753
2702 501 2136 -2919
2703 501 2138 -2716
2702 499 2133 -2839
2703 501 2137 -2519
2704 503 2135 -2989
2703 501 2131 -2839
2704 501 2133 -2939
2703 500 2134 -3069
2704 502 2139 -2969
2705 503 2134 -3066
2705 501 2134 -2819
2705 501 2134 -2959
2704 500 2136 -2509
2705 502 2135 -2916
2707 503 2134 -2966
2705 502 2135 -2959
2706 502 2134 -3083
2705 501 2129 -2936
2707 502 2130 -2989
2707 504 2133 -2696
2707 503 2138 -3173
2707 503 2134 -2996
2705 501 2122 -3193
2708 502 2131 -3266
2709 504 2141 -3139
2709 503 2130 -3156
2708 502 2135 -2893
2708 501 2130 -3066
2709 502 2138 -2676
2710 504 2135 -3116
2710 503 2142 -3103
2710 502 2132 -3046
2708 501 2132 -3093
2710 503 2129 -2893
2711 504 2135 -2966
2711 504 2137 -2696
2711 502 2152 -3046
2710 502 2130 -2836
2711 503 2134 -3132
2712 504 2133 -3049
2712 505 2132 -2873
2711 503 2133 -2999
2712 502 2127 -2766
2712 503 2132 -2929
2713 504 2138 -2653
2713 504 2135 -3189
2713 504 2132 -3052
2712 502 2132 -3023
2713 504 2135 -3106
2713 505 2134 -3033
2713 504 2137 -3146
2714 504 2134 -2823
2713 502 2131 -3076
2713 504 2133 -2673
2715 506 2139 -3026
2714 505 2133 -3039
2715 504 2133 -2876
2714 502 2130 -2999
2715 505 2134 -2796
2716 505 2137 -2873
2715 504 2136 -2546
2716 504 2130 -3009
2715 503 2128 -2919
2716 504 2132 -3029
2717 506 2133 -3096
2717 505 2134 -2963
2717 504 2130 -3079
2715 503 2129 -2852
2717 505 2132 -3136
2719 507 2138 -2783
2718 505 2130 -3066
2718 506 2132 -3093
2717 503 2134 -3039
2718 506 2134 -3213
2719 506 2132 -3063
2719 505 2132 -3053
2719 505 2131 -2599
2718 504 2133 -3026
2719 507 2135 -2916
2720 507 2135 -3056
2720 506 2136 -3099
2720 506 2134 -2999
2718 504 2130 -3196
2719 506 2137 -3009
2721 507 2131 -3252
2721 507 2132 -2769
2721 506 2129 -3003
2720 504 2131 -2913
2721 507 2129 -2849
2722 507 2129 -3066
2721 506 2134 -3036
2722 506 2137 -3176
2721 506 2131 -2853
2722 507 2132 -3182
2723 508 2133 -2896
2723 507 2131 -3046
2723 507 2133 -3063
2722 505 2124 -2909
2723 508 2135 -3013
2723 508 2132 -2836
2724 507 2133 -3019
2724 506 2120 -2666
2722 505 2132 -3073
2723 507 2138 -2983
2724 508 2132 -2926
2724 506 2136 -3096
2725 507 2135 -2989
2724 505 2128 -3006
2724 508 2136 -2746
2725 509 2129 -3149
2725 508 2130 -2896
2725 506 2129 -3149
2724 505 2131 -3153
2725 508 2135 -2963
2726 509 2130 -3086
2726 508 2126 -2806
2726 507 2131 -2976
2725 506 2128 -2706
2726 506 2133 -3053
2727 508 2132 -2839
2727 508 2131 -2793
2728 507 2135 -3033
2726 505 2130 -3099
2727 509 2135 -3199
2728 509 2131 -2843
2728 509 2117 -3219
2728 507 2132 -2896
2727 505 2131 -3156
2728 509 2132 -3163
2729 509 2124 -3006
2729 508 2135 -3166
2729 508 2134 -2959
2728 507 2117 -3049
2729 508 2134 -2693
2730 509 2127 -3079
2730 508 2134 -2873
2730 508 2131 -2932
2729 507 2134 -3116
2730 509 2132 -3016
2730 510 2131 -3136
2730 510 2136 -2873
2731 509 2136 -3066
2729 507 2136 -2652
2731 508 2126 -2912
2731 510 2121 -2929
2731 508 2136 -2889
